LAMMPS data file via bulk2interface

7140 atoms
2772 bonds
8 atom types
3 bond types
0.009393 32.490607 xlo xhi
0.009393 32.490607 ylo yhi
-45.000000 45.000000 zlo zhi

Masses

   1   17.398  # F DC
   2    6.941  # Li
   3   22.189  # Na DC
   4   38.298  # K DC
   5   58.693  # Ni
   6    0.800  # F DP
   7    0.800  # Na DP
   8    0.800  # K DP

Bond Coeffs

   1  1260.755258     0.000000  # F DC-DP
   2  1260.755258     0.000000  # Na DC-DP
   3  1477.301745     0.000000  # K DC-DP

Atoms

   1847       0    2   1.0000  1.184488e+01  2.916545e+00 -2.820334e+01  
   1871       0    2   1.0000  2.894820e+00  4.917021e+00 -2.944260e+01  
    749       0    4   3.4894  8.291146e+00  7.820786e+00 -2.388143e+01   # DC
    785       0    4   3.4894  3.331030e+00  1.696654e+00 -2.696206e+01   # DC
   2681       0    2   1.0000  5.640096e+00  1.497108e-01 -2.396789e+01  
   2998       0    1   1.9815  1.308583e+01  2.182486e+00 -2.329312e+01   # DC
    378       0    1   1.9815  7.107593e+00  1.284615e+01 -2.920464e+01   # DC
    455       0    4   3.4894  1.580455e+01  6.898679e+00 -2.374820e+01   # DC
    458       0    1   1.9815  2.158935e+00  1.533732e+01 -2.964046e+01   # DC
   1339       0    4   3.4894  9.590776e+00  8.315445e-01 -2.830066e+01   # DC
   2272       0    1   1.9815  1.324203e+01  3.797265e+00 -2.875753e+01   # DC
   1503       0    4   3.4894  7.202792e+00  1.216845e+00 -2.623080e+01   # DC
   2449       0    2   1.0000  1.169584e+01  1.348641e+01 -2.813928e+01  
   1545       0    2   1.0000  2.738747e+00  1.323667e+00 -2.353915e+01  
   2927       0    2   1.0000  1.683843e+00  7.402054e+00 -2.695411e+01  
   3338       0    1   1.9815  1.354814e+00  8.949736e+00 -2.905237e+01   # DC
   1904       0    1   1.9815  3.312545e+00  1.240216e+01 -2.941755e+01   # DC
   1959       0    2   1.0000  1.255677e+01  7.009352e+00 -2.845403e+01  
   3385       0    3   2.0065  1.524708e+01  1.555834e+01 -2.723284e+01   # DC
   1053       0    4   3.4894  5.372413e+00  1.152845e+01 -2.788286e+01   # DC
    250       0    1   1.9815  6.017039e+00  1.288015e+01 -2.561914e+01   # DC
   2465       0    2   1.0000  1.331520e+01  1.326114e+01 -2.319482e+01  
   1893       0    2   1.0000  1.169381e+01  2.583049e+00 -2.382526e+01  
   3380       0    1   1.9815  1.583530e+01  5.517434e+00 -2.701677e+01   # DC
   2548       0    1   1.9815  1.295348e+01  1.289367e+01 -2.562102e+01   # DC
   1131       0    4   3.4894  4.466426e+00  1.102621e+01 -2.418798e+01   # DC
   2866       0    1   1.9815  2.400064e+00  3.965974e+00 -2.418513e+01   # DC
   1554       0    1   1.9815  1.324303e+01  1.500287e+01 -2.792403e+01   # DC
    558       0    1   1.9815  1.032667e+01  1.294897e+01 -2.721433e+01   # DC
   3489       0    3   2.0065  5.587259e+00  3.854812e+00 -2.992620e+01   # DC
   2086       0    1   1.9815  9.353814e-01  9.177322e-01 -2.706045e+01   # DC
   1822       0    1   1.9815  1.601086e+01  1.304132e+01 -2.725275e+01   # DC
   3239       0    3   2.0065  2.585431e+00  1.117704e+01 -2.769923e+01   # DC
   1488       0    1   1.9815  4.392478e+00  3.861761e-01 -2.911222e+01   # DC
    189       0    4   3.4894  6.285598e+00  8.259496e+00 -2.707575e+01   # DC
   2165       0    2   1.0000  6.881407e+00  1.453696e+01 -2.601005e+01  
   3213       0    3   2.0065  6.541483e+00  1.342823e+01 -2.281237e+01   # DC
   3588       0    1   1.9815  1.165650e+01  1.375020e+01 -2.372114e+01   # DC
   2042       0    1   1.9815  1.430167e+01  1.169731e+01 -2.304434e+01   # DC
   3211       0    3   2.0065  6.076487e+00  5.088233e+00 -2.689897e+01   # DC
   1874       0    1   1.9815  6.804955e+00  1.050457e+01 -2.404451e+01   # DC
     15       0    4   3.4894  4.506894e+00  1.607097e+01 -2.950670e+01   # DC
    977       0    4   3.4894  1.495821e+01  1.102754e+00 -2.959422e+01   # DC
   3051       0    2   1.0000  6.873792e+00  4.330010e+00 -2.425061e+01  
   2175       0    2   1.0000  1.091869e+01  7.648544e+00 -2.648303e+01  
   2808       0    1   1.9815  3.883318e+00  9.168024e+00 -2.749480e+01   # DC
     83       0    4   3.4894  1.279702e+01  1.547219e+01 -2.522935e+01   # DC
   2534       0    1   1.9815  8.682767e+00  1.291727e+01 -2.434733e+01   # DC
   1202       0    1   1.9815  4.346513e+00  4.339974e+00 -2.799097e+01   # DC
   3494       0    1   1.9815  1.548847e+01  9.501213e+00 -2.508035e+01   # DC
   1737       0    2   1.0000  6.823262e-01  2.799217e+00 -2.821311e+01  
   2324       0    1   1.9815  6.418966e-01  1.423419e+01 -2.406782e+01   # DC
   1931       0    2   1.0000  1.334317e+01  1.571956e+01 -2.952971e+01  
   2033       0    2   1.0000  1.434107e+01  1.257057e+01 -2.681125e+01  
   2664       0    1   1.9815  1.454856e+01  7.450641e+00 -2.829018e+01   # DC
   3308       0    1   1.9815  1.539501e+01  1.571705e+01 -2.481341e+01   # DC
   3127       0    2   1.0000  1.483174e+00  1.396267e+01 -2.563886e+01  
   3137       0    2   1.0000  1.450571e+01  7.925238e-01 -2.315505e+01  
   1816       0    1   1.9815  3.128883e+00  1.470310e+01 -2.497966e+01   # DC
   3362       0    1   1.9815  6.569085e+00  6.226746e+00 -2.854908e+01   # DC
    683       0    4   3.4894  3.436654e+00  1.447432e+01 -2.749698e+01   # DC
    336       0    1   1.9815  4.604050e+00  1.732538e+00 -2.435874e+01   # DC
   2390       0    1   1.9815  2.027979e+00  6.829954e+00 -2.508439e+01   # DC
   1210       0    1   1.9815  1.189124e+01  6.217771e+00 -2.678905e+01   # DC
   1986       0    1   1.9815  4.825872e+00  5.409734e+00 -2.483984e+01   # DC
   2703       0    2   1.0000  1.581589e+01  6.976297e+00 -2.759033e+01  
   2302       0    1   1.9815  7.292110e+00  9.978367e-01 -2.340668e+01   # DC
   2773       0    2   1.0000  7.714027e+00  1.143466e+01 -2.545825e+01  
   2254       0    1   1.9815  1.010366e+00  4.215353e+00 -2.714537e+01   # DC
   2205       0    2   1.0000  4.546776e+00  1.421555e+01 -2.434000e+01  
   1140       0    1   1.9815  5.759214e+00  1.536693e+01 -2.743814e+01   # DC
   3235       0    3   2.0065  1.349656e+01  9.888360e+00 -2.857136e+01   # DC
   2793       0    2   1.0000  1.519513e+01  4.557182e+00 -2.899924e+01  
   2082       0    1   1.9815  6.643858e+00  1.517563e+01 -2.412435e+01   # DC
   1868       0    1   1.9815  7.489320e+00  1.060051e+01 -2.689435e+01   # DC
   1265       0    4   3.4894  1.365544e+01  4.228426e+00 -2.607305e+01   # DC
   1901       0    2   1.0000  1.536038e+01  1.061755e+01 -2.355254e+01  
     87       0    4   3.4894  1.019519e+01  4.558383e+00 -2.625337e+01   # DC
   2515       0    2   1.0000  3.129701e+00  8.104633e+00 -2.898478e+01  
    728       0    1   1.9815  1.343510e+01  1.223313e+01 -2.864481e+01   # DC
   1638       0    1   1.9815  7.756507e+00  4.040405e+00 -2.561544e+01   # DC
   3345       0    3   2.0065  2.723167e+00  4.883982e+00 -2.618133e+01   # DC
   1941       0    2   1.0000  1.099467e+01  1.226738e+01 -2.517784e+01  
   2148       0    1   1.9815  1.148291e+01  2.199869e+00 -2.545323e+01   # DC
   1688       0    1   1.9815  1.026423e+01  3.410140e+00 -2.858581e+01   # DC
   3046       0    1   1.9815  9.348746e+00  7.073298e+00 -2.619516e+01   # DC
   2472       0    1   1.9815  6.989188e+00  1.328764e+00 -2.891568e+01   # DC
   3386       0    1   1.9815  9.358738e-01  1.367311e+01 -2.725925e+01   # DC
    627       0    4   3.4894  9.920354e+00  1.067469e+01 -2.757260e+01   # DC
   1558       0    1   1.9815  2.496397e+00  1.189927e+01 -2.536415e+01   # DC
   2984       0    1   1.9815  1.217534e+01  8.694770e+00 -2.756171e+01   # DC
    121       0    4   3.4894  2.589765e-01  1.066250e+01 -2.474975e+01   # DC
   2792       0    1   1.9815  1.062003e+01  1.000450e+01 -2.510055e+01   # DC
   1841       0    2   1.0000  1.223630e+01  5.282930e+00 -2.290028e+01  
    123       0    4   3.4894  1.285025e+01  9.479753e+00 -2.469171e+01   # DC
